row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
"question","22119a24-4c99-4a32-b2ab-f408aaefd23b","2024","11","Which of the following is a statutory insurance in India?","","","","","","easy",""
"question","c11475b7-4638-48f1-9e9a-0445876e1034","2024","11","AI has also made significant strides, with applications ranging from virtual assistants to sophisticated data analysis tools. In healthcare,","","spot_check","","","","","[passage] The rise of technology has profoundly influenced nearly every aspect of modern life, fundamentally reshaping industries and transforming daily routines. Over the past few decades, technological advancements such as autom"
"question","93b7ab26-507a-4e43-987e-44384d7d55bb","2024","11","What minimum percentage of assets should a Non-Banking Financial Company Infrastructure Finance Company (NBFC-IFC) have in infrastructure as","","","","","","hard",""
"question","6eecc4fc-b56d-4d77-9bff-dca2135a2158","2024","11","How many hours totally did the three friends spend on technical preparation?","","spot_check","","","","","[caselet] Direction (11-15): Read the following information carefully and answer the questions. Three friends Mayank, Isha and Lalit prepared for an exam to get their dream job. Each dedicated certain hours of time in three domain"
"question","2e5989a9-4f50-49c3-8ffa-8d04e6ca0006","2024","11","Which of the following is NOT an eligibility criterion for opening a National Pension System (NPS) account?","","","","","","easy",""
"question","c7186818-5f6b-4781-bb23-82adcfad8a69","2024","11","Statements: R > K ≤ G = C < Z; C ≤ E = A ≥ S Conclusions: I) K ≤ A II) Z > S III) E > K","non_ascii_suspect","flagged","","","","",""
"question","d4d2050b-52cc-4aa5-9018-e4a1dec3b02c","2024","12","What is the term used for the basis of settlement of loss when the insurance cover is for an amount below the actual value of the item?","","","","","","easy",""
"question","771ce26f-b973-4a54-a904-aa7e3501999d","2024","12","AI has also made significant strides, with applications ranging from virtual assistants to sophisticated data analysis tools. In healthcare,","","","","","","","[passage] The rise of technology has profoundly influenced nearly every aspect of modern life, fundamentally reshaping industries and transforming daily routines. Over the past few decades, technological advancements such as autom"
"question","c7dbc40a-c53a-4044-bf46-6ffbccbe3d0e","2024","12","________ are a type of equity compensation that companies issue to their employees or directors in recognition of their contributions, such ","suspicious_repeat_char","flagged","","","","easy",""
"question","44816574-6548-4df3-9506-39d12ae5f7af","2024","12","Mayank and Lalit spent 35𝟑𝟑𝟑𝟑th and 34𝟑𝟑𝟑𝟑th of the number of hours spent on non technical preparation for maths. What is the ratio of the t","non_ascii_suspect;suspicious_repeat_char","flagged","","","","","[caselet] Direction (11-15): Read the following information carefully and answer the questions. Three friends Mayank, Isha and Lalit prepared for an exam to get their dream job. Each dedicated certain hours of time in three domain"
"question","279f9bbf-3e4d-4999-ab91-bfaa467389d0","2024","12","What is the name of India's first-ever multinational air exercise to be hosted by the Indian Air Force (IAF)?","","","","","","",""
"question","908058ef-3912-4ac0-be49-096ad0c098d1","2024","12","Statements: S > I = W ≥ C ≥ A = U; B > W ≤ Y = E Conclusions: I) E ≥ A II) U < B III) Y > S","non_ascii_suspect","flagged","","","","",""
"question","444a07f1-25db-49a7-a333-c4381fd53aad","2024","13","What is the free look period for a health insurance policy with a term of one year or more?","","","","","","easy",""
"question","c8ec54d3-d114-41d9-8a59-e3130a96e968","2024","13","The new policy was designed to _____ both the inefficiencies in the process and the _____ it had on employee morale.","suspicious_repeat_char","flagged","","","","",""
"question","5c28ace1-890b-4097-9b0e-7e61ca9cd751","2024","13","________ refers to a platform that facilitates IT-related services to connect buyers and sellers in e-commerce.","suspicious_repeat_char","flagged","","","","easy",""
"question","fc03dfa9-9db0-479c-bfef-2977fe754263","2024","13","The total number of hours spent by Lalit is what percentage more or less than the total number of hours spent by three friends on general kn","","","","","","","[caselet] Direction (11-15): Read the following information carefully and answer the questions. Three friends Mayank, Isha and Lalit prepared for an exam to get their dream job. Each dedicated certain hours of time in three domain"
"question","f95cc160-a98a-4256-8a94-cda6d9e760e1","2024","13","What percentage of its stake does State Bank of India (SBI) aim to sell in Yes Bank by the end of March 2024?","","","","","","",""
"question","011ed15d-0665-4e49-bc0f-730a6e09b7a1","2024","13","Statements Q ≥ W < E ≤ Y < P ≥ D; W = T > U > L ≤ V = A ≥ M Conclusions I) L < P II) Y > V III) Q > L","non_ascii_suspect","flagged","","","","",""
"question","1ab12caf-96f6-41cb-b4b0-14c5040b48b4","2024","14","The Ubharte Sitaare Fund, registered in July 2021, is co-sponsored by which of the following institutions?","no_primary_tag","flagged","","","","easy",""
"question","1a3f0d1a-8d6f-446e-96d5-23fa45b3071b","2024","14","Despite the _____ of the project, the team managed to deliver it on time and within budget, demonstrating their _____ and dedication.","suspicious_repeat_char","flagged","","","","",""
"question","82fd4a3e-fc7e-4d5b-ad07-da3ad8176683","2024","14","________ is used by the Reserve Bank of India (RBI) to absorb liquidity from the banking system.","suspicious_repeat_char","flagged","","","","easy",""
"question","c163cda2-14d6-483d-8d91-6eb973c993d5","2024","14","What is the average number of hours spent by three friends on all three domains?","","","","","","","[caselet] Direction (11-15): Read the following information carefully and answer the questions. Three friends Mayank, Isha and Lalit prepared for an exam to get their dream job. Each dedicated certain hours of time in three domain"
"question","b01c84e2-8a2f-4e31-b32f-f360b3f6c4d5","2024","14","What is the annual fee that broker-dealers need to pay to IFSCA, as per the June 2024 clarificatory circular, if they access global markets ","","spot_check","","","","hard",""
"question","01f649fd-1d6e-42d0-a603-2ada9458a2bf","2024","14","How is T related to E if G is a female?","","","","","","","[caselet] There are seven members G, Q, D, E, T, U, and H in the family with three generations. There is a couple in each generation. Q is the daughter-in-law of G, who has two children. U is the son of D and does not have any sib"
"question","2e64e3e1-5fcc-4bb6-8e59-e8efe57d2a62","2024","15","What is the term used to describe a reinsurer of a reinsurance company, where the ceding reinsurer is known as?","","","","","","easy",""
"question","895c1651-6997-466a-8a25-17e253a4f67b","2024","15","The CEO's speech was intended to _____ the employees' concerns and _____ confidence in the company's future.","suspicious_repeat_char","flagged","","","","",""
"question","878a12d2-ada9-44fd-a0c9-e92680613a7a","2024","15","Which of the following is NOT a money market instrument?","","","","","","easy",""
"question","6451c866-f439-48d9-8da0-2a011c5bfe2a","2024","15","Among the total hours spent by the three friends on general knowledge, they involved in interviewing each other for 45 minutes on every turn","","","","","","","[caselet] Direction (11-15): Read the following information carefully and answer the questions. Three friends Mayank, Isha and Lalit prepared for an exam to get their dream job. Each dedicated certain hours of time in three domain"
"question","1e1e097c-2664-462f-89b4-a0407a19a0ba","2024","15","The Reserve Bank of India (RBI) has approved an increase in the promoter's stake to 26% in which of the following banks?","no_primary_tag","flagged","","","","",""
"question","4a55abae-7d82-4a29-a082-662c66fe5987","2024","15","How is Q related to H?","","","","","","","[caselet] There are seven members G, Q, D, E, T, U, and H in the family with three generations. There is a couple in each generation. Q is the daughter-in-law of G, who has two children. U is the son of D and does not have any sib"
"question","a2d6c31e-b6ba-40a4-be64-bc70b1f42253","2024","16","What is the solvency requirement for insurance companies as mandated by the Insurance Regulatory and Development Authority of India (IRDAI)?","","spot_check","","","","hard",""
"question","6b9c5d2c-a4c0-4840-bb09-195d59128702","2024","16","The committee's decision was met with widespread approval and was seen as a highly commendable move.","","","","","","",""
"question","a0f5e64b-c896-4dda-b627-67a1ab8dcb31","2024","16","An agreement between two counterparties to exchange interest and/or principal payments in different currencies on an agreed date is known as","","","","","","easy",""
"question","08e253a8-c6c7-48e2-b413-9611224e50e8","2024","16","169, 289, ?, 469, 529, 569, 589","","","","","","",""
"question","ab0a2a45-ac9a-41ac-a9a1-1846c43c3b01","2024","16","Who was appointed as the protem Speaker of the 18th Lok Sabha?","","","","","","",""
"question","0c91a573-c4e6-4eeb-aebe-248e42a000f5","2024","16","How many such pairs of letters are there in the word “DESTINATION” each of which has as many letters between them as there in the English al","non_ascii_suspect","flagged","","","","",""
"question","5b8fdd73-bfd1-48fb-afab-30bb4eca8c0d","2024","17","What is the term for the realization value of a damaged asset that is deducted from the insurance claim?","","","","","","easy",""
"question","4d3ab9e7-7b51-47a0-b677-d0fabad57cd8","2024","17","The new software program is designed to significantly enhance productivity and efficiency in the workplace.","","","","","","",""
"question","39b71593-c081-4d90-8dbe-cbff801f06f4","2024","17","The Reserve Bank of India’s (RBI) ____ is a groundbreaking technological innovation poised to transform the Indian lending sector.","non_ascii_suspect;suspicious_repeat_char","flagged","","","","easy",""
"question","4d2660cc-0a70-4657-8812-781bbadfde36","2024","17","12, 86, 226, ?, 830, 1372","","spot_check","","","","",""
"question","ac2c5be9-79d1-43be-a285-543e3f2d87f5","2024","17","Muthoot Finance was selected for which international report in 2023-24?","","","","","","",""
"question","2ca25634-cd1d-4f6d-80ba-3d8a8b9d9027","2024","17","What is the shortest distance between point G and D?","","","","","","","[caselet] A girl started walking from point A towards east for 7m to reach point B. Then, she walks for 4m towards south to reach point C. Then, she takes a left turn and walks for 9m to reach point D. After this she walks for 5m "
"question","e46d758f-01cf-4d02-95f8-26ae4c087e39","2024","18","What is the lock-in period for Linked Insurance products, during which policy proceeds cannot be paid to policyholders except in case of dea","","","","","","easy",""
"question","3306cb70-09d5-4c43-8907-ddba02a97550","2024","18","Her approach to solving complex problems is both innovative and practical, making her a valuable asset to the team.","","spot_check","","","","",""
"question","bfb6b682-fd8c-4975-bc0b-44559dcf0e15","2024","18","An MMID, or Mobile Money Identifier, consists of how many digits?","","spot_check","","","","easy",""
"question","9df3f4ed-1900-4a9f-b77c-61cf58bd1d68","2024","18","124, 131, ?, 146, 157, 170","","","","","","",""
"question","dd688fbe-9c7e-491f-8c0f-1f4c751a8b17","2024","18","Which bank is the second-highest credit card issuer in India in terms of market share?","","","","","","",""
"question","e017f891-419c-4db9-a989-a3d6da7a931d","2024","18","What is the direction of the girl’s current position with respect to the boy’s starting position?","non_ascii_suspect","flagged","","","","","[caselet] A girl started walking from point A towards east for 7m to reach point B. Then, she walks for 4m towards south to reach point C. Then, she takes a left turn and walks for 9m to reach point D. After this she walks for 5m "
"question","53eefc73-aa64-4764-8d64-268c49452cfe","2024","19","What is the grace period for life insurance policies with monthly premium payments?","","","","","","easy",""
"question","c3c5f8fa-53e2-4a40-9908-71def8686ca1","2024","19","The government introduced a series of measures aimed at mitigating the adverse effects of the economic downturn.","","","","","","",""
"question","fd4df3b5-fc48-4e80-9624-0918b726ac40","2024","19","________ is considered the first development financial institution in India.","suspicious_repeat_char","flagged","","","","easy",""
"question","9e88a897-704f-44f9-9a29-4d40aaade2ba","2024","19","24, ? , 18, 45, 157.5, 708.75","","","","","","",""
"question","5faba8f0-42b4-4bc1-921c-7c650bb717a7","2024","19","Reserve Bank of India (RBI) announced a revised currency swap framework for South Asian Association of Regional Cooperation (SAARC) nations ","","","","","","medium",""
"question","b13d9ede-1293-4c36-ae62-5e2365bdf06a","2024","19","What is the direction of point C with respect to point I?","","","","","","","[caselet] A girl started walking from point A towards east for 7m to reach point B. Then, she walks for 4m towards south to reach point C. Then, she takes a left turn and walks for 9m to reach point D. After this she walks for 5m "
"question","deedb100-4263-415a-904e-5639d31faa1b","2024","20","The team was able to _____ the project ahead of schedule due to their effective management and coordination.","suspicious_repeat_char","flagged","","","","",""
"question","6f0ce998-8e2a-4b25-af6c-efe54460c8db","2024","20","The authorized capital of the National Housing Bank (NHB) currently stands at ₹1,450 crore and is fully subscribed by ______.","non_ascii_suspect;suspicious_repeat_char","flagged","","","","easy",""
"question","461dad49-496a-49f3-81f1-9fa9f8ddc77b","2024","20","15, 27, 49, ?, 115, 155","","","","","","",""
"question","5dbbab3d-bb92-4294-9e9f-bb0b00cd0e17","2024","20","What was India's rank in the UNDP Human Development Report for the year 2022?","","spot_check","","","","",""
"question","8101a505-3869-414f-9b66-0d9b5122ab68","2024","20","What is the shortest distance between point B and I?","","spot_check","","","","","[caselet] A girl started walking from point A towards east for 7m to reach point B. Then, she walks for 4m towards south to reach point C. Then, she takes a left turn and walks for 9m to reach point D. After this she walks for 5m "
"question","a59a3fe9-dcfc-44b4-98d2-4972e2354e2e","2024","21","To ensure the accuracy of the research findings, it is important to _____ all sources of data before drawing any conclusions.","suspicious_repeat_char","flagged","","","","",""
"question","ef3897ab-0420-41da-9449-024385e3aa69","2024","21","What type of mutual fund invests in its own mutual funds or other mutual funds instead of directly in securities?","","","","","","easy",""
"question","92994815-47c4-4c32-ac20-756f8d5c3a47","2024","21","Find the ratio of the number of wooden spoons sold by 'E' to the number of plastic spoons sold by 'C'.","","spot_check","","","","","[table] Directions (21-25): Answer the questions based on the information given below. The given table shows the average number of spoons (wooden and plastic) and percentage of wooden spoons sold out of total number of spoons so"
"question","33f38230-c99f-4563-bd0b-803ad3bdc55d","2024","21","As per the recent SEBI guidelines, what is the maximum aggregate contribution allowed by NRIs, OCIs, and Resident Indians in the corpus of F","no_primary_tag","flagged","","","","",""
"question","bec119fb-d669-452b-a1b9-c43717debdc3","2024","21","Directions: In the question given below, there are two statements (I) and (II). These statements may be either independent causes or may be ","","","","","","",""
"question","d05b78f6-3d4f-4401-8b92-fde553a638be","2024","22","Her presentation was filled with detailed information and _____ arguments that convinced the audience of her point of view.","suspicious_repeat_char","flagged","","","","",""
"question","e78ace07-4078-428b-a92d-add1421ba2ab","2024","22","What type of contract that gives obligation and is commonly used between two counterparties to trade gold at a specified price on a future d","","","","","","easy",""
"question","04baa82e-d95f-4291-91b9-9c89b9d79d71","2024","22","The number of plastic spoons sold by 'B' is how much percent more/less than the number of wooden spoons sold by 'D'?","","","","","","","[table] Directions (21-25): Answer the questions based on the information given below. The given table shows the average number of spoons (wooden and plastic) and percentage of wooden spoons sold out of total number of spoons so"
"question","802962cf-657b-4825-a149-5e0f2d75993c","2024","22","UPI-PayNow was launched between India and which country?","","","","","","easy",""
"question","ab58ee5a-1b94-4097-a77d-45cb60e032f7","2024","22","Directions: A situation/problem statement is given followed by three statements. Choose the one/s which is/are the correct course of action/","","","","","","",""
"question","39c0904d-48e5-4885-8640-8a99f48f4519","2024","23","The company have introduced a new set of guidelines to ensure all employees comply with the latest regulations.","","","","","","",""
"question","8c52affb-cc53-409d-a6ff-0888b6557c7c","2024","23","What is the full form of IIBX?","","","","","","easy",""
"question","24e184c0-df07-4ecc-898d-b0c2aa1283b4","2024","23","'A' sold each plastic and wooden spoon for Rs. 4 and Rs. 15, respectively. Find the total amount earned by him.","","","","","","","[table] Directions (21-25): Answer the questions based on the information given below. The given table shows the average number of spoons (wooden and plastic) and percentage of wooden spoons sold out of total number of spoons so"
"question","5f1c4f90-daff-4951-b880-65411bd8e7d1","2024","23","Who is the current Chairperson of the International Financial Services Centres Authority (IFSCA)?","","","","","","",""
"question","960103b1-4f20-41bd-b577-c5b78c23bd17","2024","23","Directions: The question given below consists of a statement, followed by two arguments numbered I and II. You have to decide which of the a","","","","","","",""
"question","80df0d91-7146-4684-9cb0-d134be01bf04","2024","24","Neither the manager nor the employees were aware of the changes that was implemented last week.","","","","","","",""
"question","5558461d-2e19-441b-a831-c43123578877","2024","24","Find the average number of plastic spoons sold by 'D' and 'E'.","","","","","","","[table] Directions (21-25): Answer the questions based on the information given below. The given table shows the average number of spoons (wooden and plastic) and percentage of wooden spoons sold out of total number of spoons so"
"question","218fc15f-296c-4a30-8d5d-0f3ab10e62c3","2024","24","How many registered International Insurance Offices (IIOs) are there in the Life Segment after IFSCA granted Certificate of Registration (Co","","","","","","",""
"question","65c6a098-b52c-49f9-ad66-c240330dd08c","2024","25","Despite of the challenges, the team managed to meet the project deadlines and exceed expectations.","","","","","","",""
"question","a6fa25ce-9307-4273-a13b-457c29ed98fa","2024","25","Find the difference between total number of wooden spoons sold by 'B' and 'C' together and average number of spoons sold by 'E'.","","","","","","","[table] Directions (21-25): Answer the questions based on the information given below. The given table shows the average number of spoons (wooden and plastic) and percentage of wooden spoons sold out of total number of spoons so"
"question","0817f1f0-a53c-4fea-850d-b6fa30d25f46","2024","25","Which phase of the Pradhan Mantri Gram Sadak Yojana (PMGSY) was announced in the Union Budget 2024?","","","","","","",""
"question","912d1557-8d25-49d9-8fad-91340638dcb1","2024","25","If in the number “1437456689” all the digits are arranged in ascending order from left to right, how many digits will remain at the same pos","non_ascii_suspect","flagged","","","","",""
"tag","a3dd7391-e384-43d7-927f-c1141a9b2265","2024","00d3f0d6-79a3-4c9b-a019-d0ac728fbb19","Digital Public Infrastructure and India Stack","","spot_check","","","","",""
"tag","4f98596f-b45f-4b7b-bc48-ed4f3e4304c3","2024","0140aef7-82c3-45de-be0d-e9286820ee7f","Odd-one-out within an arrangement","","","","","","",""
"tag","9fae6a80-b7d8-4a8a-a571-911818b7cda7","2024","023e18bf-9868-4996-a2c3-24a2382589b0","Withdrawal, exit and deferment rules","","","","","","",""
"tag","d4f2e61e-5716-46f2-acf6-8ca0ab1c7a76","2024","06786998-4834-4197-b8ac-20b6cd4f6991","Insurance and pension schemes","","","","","","",""
"tag","14580c65-bada-470a-a666-0929f5207cb8","2024","06786998-4834-4197-b8ac-20b6cd4f6991","Insurance and pension schemes","","","","","","",""
"tag","35b43ec7-636d-4d0a-a096-22ed60a81ebf","2024","09eef279-390d-4889-a8fb-81c6961bee8a","Shortest distance by Pythagoras","","","","","","",""
"tag","be9b7dc6-028c-4181-830e-c881c26d903a","2024","09eef279-390d-4889-a8fb-81c6961bee8a","Shortest distance by Pythagoras","","","","","","",""
"tag","1d8c8034-2880-4f4d-acbe-d30dd933f914","2024","0b53297b-0109-4334-b1ee-e56a18137969","Word-pair fit","","","","","","",""
"tag","a28f7849-7246-47c8-9fd7-82cf8cb14735","2024","0b53297b-0109-4334-b1ee-e56a18137969","Word-pair fit","","","","","","",""
"tag","66d6056d-2abb-4e75-8461-8884b51b92b1","2024","0b53297b-0109-4334-b1ee-e56a18137969","Word-pair fit","","","","","","",""
"tag","a519da6b-e128-4fcc-a55f-3f2b1baf893a","2024","10d8610d-9dbd-4f47-b301-1ed3c0d2dce6","Income, expenditure and savings","","","","","","",""
"tag","2d87a47c-bd59-45b8-bc78-fd941401fc99","2024","1326ca6c-e981-4960-8229-e3e61c4b91ab","Current events of international importance","","","","","","",""
"tag","ae39d316-b2ad-490c-8e13-ac9edc31286f","2024","1326ca6c-e981-4960-8229-e3e61c4b91ab","Current events of international importance","","","","","","",""
"tag","f765b3e2-b28b-4c17-bc3a-26394c328c75","2024","1326ca6c-e981-4960-8229-e3e61c4b91ab","Current events of international importance","","","","","","",""
"tag","50dfacbb-ad77-4593-b98e-c9acc4154705","2024","1326ca6c-e981-4960-8229-e3e61c4b91ab","Current events of international importance","","","","","","",""
"tag","08806605-d8c5-47c8-a060-f9d9c3ac8a25","2024","1326ca6c-e981-4960-8229-e3e61c4b91ab","Current events of international importance","","","","","","",""
"tag","e13ddf6a-bfa9-49e5-8160-ef422695b0d3","2024","15e5b403-5be3-49c4-a4c5-8c3805cc2694","RBI, SEBI, IRDAI, PFRDA ΓÇö mandate boundaries","","","","","","",""
"tag","e2916576-b5e2-4830-a8c1-6419a8d47d91","2024","15e7768f-f126-4030-a227-218a815ea259","Multi-chain inequality with linked variables","","","","","","",""
"tag","3aa379a6-ddd6-4219-8b69-9320c9350178","2024","15e7768f-f126-4030-a227-218a815ea259","Multi-chain inequality with linked variables","","spot_check","","","","",""
"tag","b1167e7b-5f61-4aa3-aa9e-93eda556e96b","2024","15e7768f-f126-4030-a227-218a815ea259","Multi-chain inequality with linked variables","","","","","","",""
"tag","c3ed763a-e6e2-43b8-ac68-38bc3255dea1","2024","1ef2f19a-fc69-4cb8-9018-1fe593a6d2b0","Unified Pension Scheme","","","","","","",""
"tag","7d57619d-4f48-47e4-a8d5-59b1bacde368","2024","2f212655-56e8-44f1-a4ff-04dd298e8a61","Dilution and further issue of capital","","","","","","",""
"tag","cf4b551a-5dd5-46f8-a360-7218315cfd59","2024","2fd766ca-2573-4fee-99c2-fa88df93628f","Caselet data interpretation","","","","","","",""
"tag","0638b779-77fb-4fff-bd7e-f867482c0336","2024","2fd766ca-2573-4fee-99c2-fa88df93628f","Caselet data interpretation","","","","","","",""
"tag","12ad7faa-991d-4395-82af-1b6f3d3f5042","2024","2fd766ca-2573-4fee-99c2-fa88df93628f","Caselet data interpretation","","","","","","",""
"tag","eafffba8-a84b-4e31-857b-a085613d8938","2024","2fd766ca-2573-4fee-99c2-fa88df93628f","Caselet data interpretation","","","","","","",""
"tag","e7f3ea6f-60c1-4c96-89e7-2bcee706bfcb","2024","2fd766ca-2573-4fee-99c2-fa88df93628f","Caselet data interpretation","","","","","","",""
"tag","bee36faf-bcb2-4e67-8255-7f2902f44951","2024","308c9fd7-83fd-4fa7-ac7d-6dd132598da7","Margin of safety and angle of incidence","","","","","","",""
"tag","3428cbc1-b1fc-44ab-8168-bdf6137e4e96","2024","342ec4bb-5625-4398-9b44-2963d65062a4","Explicit detail retrieval","","","","","","",""
"tag","653d0d0d-ef32-4e6f-b0c4-53116f0e3992","2024","342ec4bb-5625-4398-9b44-2963d65062a4","Explicit detail retrieval","","","","","","",""
"tag","d2875542-6b7c-4337-b894-46c4222e8d70","2024","342ec4bb-5625-4398-9b44-2963d65062a4","Explicit detail retrieval","","","","","","",""
"tag","2ea78535-58bc-4b88-9741-7faad85d635f","2024","342ec4bb-5625-4398-9b44-2963d65062a4","Explicit detail retrieval","","","","","","",""
"tag","c425de82-d301-4d47-a5ca-fa79b758833b","2024","342ec4bb-5625-4398-9b44-2963d65062a4","Explicit detail retrieval","","","","","","",""
"tag","c5aea89e-89f4-4030-912e-bab1c9713e2c","2024","342ec4bb-5625-4398-9b44-2963d65062a4","Explicit detail retrieval","","","","","","",""
"tag","6ea6ca9b-4bcb-4ab2-89b6-0bd023a3244c","2024","390cb8c4-537c-469c-b3d1-14d9194d8cea","NPCI systems ΓÇö UPI, IMPS, NEFT, RTGS","","","","","","",""
"tag","2503e970-9332-4bbd-a673-81a4b6546ec1","2024","3a54536e-35fe-4c7a-949c-382476120f62","Square roots, cube roots and powers","","","","","","",""
"tag","a34c89a0-338d-46c6-8816-506c63260469","2024","3cce1ed9-2cf1-4bcc-9d21-a121db409aaa","Budget concepts and approach","","","","","","",""
"tag","f243c451-ba01-47c3-9df0-75c99d38b91c","2024","3f2a57b9-ea87-4d0e-9296-6651b115c149","Written answers to a passage","","spot_check","","","","",""
"tag","89dca2bb-9fc1-42da-be76-fe2fbd2f17eb","2024","440c8813-032d-4fab-955f-99dd9a3acde3","Process costing ΓÇö normal loss, abnormal loss, abnormal gain","","","","","","",""
"tag","f90cbadb-696d-4247-90c3-9f7f874db13c","2024","471d51d4-ca3e-4705-8f46-000457b5d042","Claims management","","","","","","",""
"tag","8c23600a-3757-479b-9179-90737d2e80ab","2024","471d51d4-ca3e-4705-8f46-000457b5d042","Claims management","","","","","","",""
"tag","1ecf89e7-326a-47d0-b4e6-c67cf1095c91","2024","471d51d4-ca3e-4705-8f46-000457b5d042","Claims management","","","","","","",""
"tag","76da0dda-4e43-45ae-ba0a-1268418236c8","2024","47d00077-5f85-ba3b-fc49-cf7405914aa2","Pr├⌐cis Writing","","","","","","",""
"tag","909e0c16-0bb7-455f-90ad-b07f18bc6e83","2024","55cde475-d4af-4ff7-b347-b51066736cab","Direction of one point relative to another","","","","","","",""
"tag","8c2a73cc-2f60-41c0-a9a4-eb0e99025d8a","2024","55cde475-d4af-4ff7-b347-b51066736cab","Direction of one point relative to another","","","","","","",""
"tag","3dab9254-15b8-4e0d-8cc2-d6854d711690","2024","63d9ed95-155f-b31b-acd8-3bb63b0bbb76","Essay Writing","","","","","","",""
"tag","20273334-2b22-4523-bded-21d21d27c19d","2024","64a0d03a-4bc1-4d43-9e1a-4fe2e748dc32","Cost concepts ΓÇö prime, production, conversion cost","","","","","","",""
"tag","d55c97b6-0648-4979-a4ba-d4f245e24e97","2024","652eb8c7-a25a-48c1-b51d-ddf64f8ede1b","Family tree puzzle with generations","","","","","","",""
"tag","b384d515-7abc-4581-9c3d-582579606e85","2024","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","8840dda9-1876-4eae-b56a-61f027404921","2024","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","7eb58e58-d421-4099-87be-91fdc14965a1","2024","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","ab392a46-6401-445d-a315-87c30e05dcf6","2024","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","d310e8b0-bc1e-416b-b147-7712d67e759f","2024","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","050f7bff-1c89-4584-8079-a107a2279a72","2024","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","7f05e7c7-90f2-4b5f-a845-4d12191a8d2d","2024","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","bcaf41e3-6bcd-4ed7-83da-3ba111a7b7c9","2024","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","spot_check","","","","",""
"tag","cfa99c3b-382a-487d-b877-d8867aaf57f0","2024","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","ca8ac115-7773-4745-b780-0cf3e1f41994","2024","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","4ddc5015-e9fa-41d5-be5c-a0ba36099887","2024","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","2c2ccd7f-0c43-4108-a4c1-fea3b67a0978","2024","71faffff-a24e-49ae-918e-1216b65553d8","Statement and argument ΓÇö strong or weak","","","","","","",""
"tag","3adaee0e-9232-4edd-964b-585d1f6ff5c3","2024","739faf06-bd8e-464f-8035-5927c492ca7a","Scheme types and fund of funds","","","","","","",""
"tag","37eebe7f-02b0-440e-9a67-49c502dd0b7c","2024","7a2c2e52-c0f0-4a62-bb28-69fe43fbd971","Cause and effect","","","","","","",""
"tag","8d7529f8-76d8-40da-b363-8e396f8c3116","2024","7aa6a5c3-2e2a-46c9-b5cf-d8a2168f4f88","Development financial institutions ΓÇö NABARD, SIDBI, NHB, NaBFID, EXIM","","","","","","",""
"tag","9eac6e34-0b3e-4f61-9bf9-070155b2671e","2024","7aa6a5c3-2e2a-46c9-b5cf-d8a2168f4f88","Development financial institutions ΓÇö NABARD, SIDBI, NHB, NaBFID, EXIM","","","","","","",""
"tag","5ca78ca9-a05b-4a8c-8e35-c63479e6c79e","2024","7aa6a5c3-2e2a-46c9-b5cf-d8a2168f4f88","Development financial institutions ΓÇö NABARD, SIDBI, NHB, NaBFID, EXIM","","","","","","",""
"tag","b019e730-ca5d-41dd-9713-edb25c1cfc4d","2024","7c71b869-e50a-4ebd-aea1-fe291dbee5ed","Subject-verb agreement","","","","","","",""
"tag","99ee2932-cf2e-46ae-8237-7f0c6ddf6ca2","2024","7c71b869-e50a-4ebd-aea1-fe291dbee5ed","Subject-verb agreement","","","","","","",""
"tag","0738ead0-5ee3-46c4-b617-ccef2abcd25e","2024","7e1e6fc8-4e40-4e18-bfb7-660c80143603","RBI Act 1934 ΓÇö constitution, note issue, functions","","","","","","",""
"tag","b4dec340-9880-4be2-a9f6-92b111ca2699","2024","7e1e6fc8-4e40-4e18-bfb7-660c80143603","RBI Act 1934 ΓÇö constitution, note issue, functions","","","","","","",""
"tag","ab93252b-3412-4193-8a11-7ef4a7bfed06","2024","7f29a8bb-6ef5-41af-b75d-93a2bc9cca65","Property and liability insurance","","","","","","",""
"tag","9e8db548-b61d-4342-9b1e-516b23846ad0","2024","82ebea06-9d87-40af-b539-2a37c6024b12","Population, strength and quantity change","","","","","","",""
"tag","990a3e5d-d636-4198-9fee-4c235ea6a962","2024","89b27d9f-7081-4930-9186-c41b93349e1a","Number series ΓÇö multiplicative and mixed patterns","","","","","","",""
